client_id,planned_event_id,start_time,status
d9c3ee68f3b5529e854e6776985afc84,e30c3aef-0c39-45ca-98f9-a06ba727a73e,2020-02-14,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,56e140cc-8005-4e2a-b468-f7ac313ae5b2,2020-02-14,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,4c7b9d52-4747-42c4-b4aa-ce4f9144acf7,2020-02-16,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,20bd03e0-e6d4-4f41-b7fc-0c27453498a6,2020-02-17,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,7333cde0-78e1-48f9-b35a-b3db1753bced,2020-02-28,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,28d959e7-1afb-4d3b-b1bf-f8256a8d1a46,2020-03-31,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,1a7fb1f8-7d34-4db0-ac37-13a895b7c4a7,2020-04-04,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,67d04608-df10-4b7c-b2f4-b6b3d94b1d9f,2020-04-04,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,b8799a07-3194-4a84-9367-6de09d8b5c8a,2020-04-05,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,52b951a5-6726-4053-a486-6774e9a92c5c,2020-04-26,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,12d0a15b-c245-4dfc-acf6-2c6a211ace32,2020-04-26,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,04f1dd2e-5da5-4c8c-a32f-a066eea68588,2020-07-02,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,4e331621-a2fc-49f8-a8ee-50aa0560abbf,2020-07-02,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,9d653ac5-1995-42de-8488-46900df38a75,2020-07-02,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,3322fd8f-3e75-4c8c-a1e7-5ecd6540f9c1,2020-07-08,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,36d07965-d7b0-498e-86e6-534e92d89f38,2020-07-18,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-07-18,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-07-25,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-08-01,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-08-08,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-08-15,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-08-22,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-08-29,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-09-05,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-09-12,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-09-19,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-09-26,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-10-03,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-10-10,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-10-17,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-10-24,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-10-31,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-11-07,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-11-14,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-11-21,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-11-28,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-12-05,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-12-12,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-12-19,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2020-12-26,INCOMPLETED
d9c3ee68f3b5529e854e6776985afc84,22888f97-77e1-4818-aaba-87e317e4bab0,2021-01-02,INCOMPLETED
